"stop_factor","profit_factor","rolling_period","prior_period","prior_weight","trade_direction","TRUE LOSS","TRUE WIN","NA","WEAK WIN","Total_Trades","Perc"
2.5,5,60,200,2,"Long",21,30,0,NA,51,0.588235294117647
2.5,5,150,200,2,"Long",28,30,0,NA,58,0.517241379310345
2.5,5,250,150,2.5,"Long",191,196,1,1,388,0.505154639175258
2.5,5,200,150,2.5,"Long",192,190,0,NA,382,0.49738219895288
2.5,5,300,60,2.5,"Long",67,65,0,NA,132,0.492424242424242
2.5,5,200,200,2.5,"Short",95,93,0,NA,188,0.49468085106383
2.5,5,200,250,2.5,"Short",110,103,2,NA,215,0.47906976744186
2.5,5,250,200,2.5,"Short",97,82,1,NA,180,0.455555555555556
2.5,5,60,200,2.5,"Short",92,75,0,NA,167,0.449101796407186
2.5,5,150,300,2,"Short",50,40,0,NA,90,0.444444444444444
